Family,species,sex,mass midpoint,log midpoint mass,,
Felidae,Acinonyx jubatus,Female,42000,4.62,,
Felidae,Acinonyx jubatus,Male,49000,4.69,,
Ursidae,Ailuropoda melanoleuca,Female,102500,5.01,,
Ursidae,Ailuropoda melanoleuca,Male,56250,4.75,,
Procyonidae,Ailurus fulgens,Female,5200,3.72,,
Procyonidae,Ailurus fulgens,Male,5400,3.73,,
Canidae,Alopex lagopus,Female,4245,3.63,,
Canidae,Alopex lagopus,Male,4981,3.70,,
Mustelidae,Aonyx capensis,Female,13650,4.14,,
Mustelidae,Aonyx capensis,Male,11400,4.06,,
Mustelidae,Aonyx cinerea,Female,1698,3.23,,
Mustelidae,Aonyx cinerea,Male,NA,NA,,
Mustelidae,Aonyx congica,Female,NA,NA,,
Mustelidae,Aonyx congica,Male,NA,NA,,
Viverridae,Arctictis binturong,Female,11700,4.07,,
Viverridae,Arctictis binturong,Male,13250,4.12,,
Viverridae,Arctogalidia trivirgata,Female,2175,3.34,,
Viverridae,Arctogalidia trivirgata,Male,2670,3.43,,
Mustelidae,Arctonyx collaris,Female,NA,NA,,
Mustelidae,Arctonyx collaris,Male,10471,4.02,,
Canidae,Atelocynus microtis,Female,9060,3.96,,
Canidae,Atelocynus microtis,Male,8607,3.93,,
Herpestidae,Atilax paludinosus,Female,3250,3.51,,
Herpestidae,Atilax paludinosus,Male,3850,3.59,,
Procyonidae,Bassaricyon alleni,Female,NA,NA,,
Procyonidae,Bassaricyon alleni,Male,NA,NA,,
Procyonidae,Bassaricyon beddardi,Female,NA,NA,,
Procyonidae,Bassaricyon beddardi,Male,NA,NA,,
Procyonidae,Bassaricyon gabbii,Female,815,2.91,,
Procyonidae,Bassaricyon gabbii,Male,778,2.89,,
Procyonidae,Bassaricyon lasius,Female,NA,NA,,
Procyonidae,Bassaricyon lasius,Male,NA,NA,,
Procyonidae,Bassaricyon pauli,Female,NA,NA,,
Procyonidae,Bassaricyon pauli,Male,NA,NA,,
Procyonidae,Bassariscus astutus,Female,1289,3.11,,
Procyonidae,Bassariscus astutus,Male,1509,3.18,,
Procyonidae,Bassariscus sumichrasti,Female,NA,NA,,
Procyonidae,Bassariscus sumichrasti,Male,NA,NA,,
Herpestidae,Bdeogale crassicauda,Female,1555,3.19,,
Herpestidae,Bdeogale crassicauda,Male,1960,3.29,,
Herpestidae,Bdeogale jacksoni,Female,NA,NA,,
Herpestidae,Bdeogale jacksoni,Male,NA,NA,,
Herpestidae,Bdeogale nigripes,Female,NA,NA,,
Herpestidae,Bdeogale nigripes,Male,NA,NA,,
Canidae,Canis adustus,Female,8745,3.94,,
Canidae,Canis adustus,Male,9725,3.99,,
Canidae,Canis aureus,Female,7500,3.88,,
Canidae,Canis aureus,Male,10540,4.02,,
Canidae,Canis latrans,Female,12850,4.11,,
Canidae,Canis latrans,Male,14100,4.15,,
Canidae,Canis lupus (Holarctic),Female,27657,4.44,,
Canidae,Canis lupus (Holarctic),Male,48125,4.68,,
Canidae,Canis lupus (nearctic),Female,34473,4.54,,
Canidae,Canis lupus (nearctic),Male,38605,4.59,,
Canidae,Canis lupus (palearctic),Female,26650,4.43,,
Canidae,Canis lupus (palearctic),Male,31325,4.50,,
Canidae,Canis lupus dingo,Female,14000,4.15,,
Canidae,Canis lupus dingo,Male,17000,4.23,,
Canidae,Canis mesomelas,Female,7700,3.89,,
Canidae,Canis mesomelas,Male,8500,3.93,,
Canidae,Canis rufus,Female,22850,4.36,,
Canidae,Canis rufus,Male,31000,4.49,,
Canidae,Canis simensis,Female,12700,4.10,,
Canidae,Canis simensis,Male,16700,4.22,,
Canidae,Cerdocyon thous,Female,5183,3.71,,
Canidae,Cerdocyon thous,Male,6870,3.84,,
Viverridae,Chrotogale owstoni,Female,NA,NA,,
Viverridae,Chrotogale owstoni,Male,NA,NA,,
Canidae,Chrysocyon brachiurus,Female,22700,4.36,,
Canidae,Chrysocyon brachiurus,Male,23800,4.38,,
Viverridae,Civettictis civetta,Female,12300,4.09,,
Viverridae,Civettictis civetta,Male,11350,4.05,,
Mustelidae,Conepatus chinga,Female,1585,3.20,,
Mustelidae,Conepatus chinga,Male,2295,3.36,,
Mustelidae,Conepatus humboldtii,Female,NA,NA,,
Mustelidae,Conepatus humboldtii,Male,1250,3.10,,
Mustelidae,Conepatus leuconotus,Female,NA,NA,,
Mustelidae,Conepatus leuconotus,Male,NA,NA,,
Mustelidae,Conepatus mesoleucus,Female,1890,3.28,,
Mustelidae,Conepatus mesoleucus,Male,2130,3.33,,
Mustelidae,Conepatus semistriatus,Female,NA,NA,,
Mustelidae,Conepatus semistriatus,Male,NA,NA,,
Hyaenidae,Crocuta crocuta,Female,65650,4.82,,
Hyaenidae,Crocuta crocuta,Male,63850,4.81,,
Herpestidae,Crossarchus alexandri,Female,NA,NA,,
Herpestidae,Crossarchus alexandri,Male,NA,NA,,
Herpestidae,Crossarchus ansorgei,Female,NA,NA,,
Herpestidae,Crossarchus ansorgei,Male,NA,NA,,
Herpestidae,Crossarchus obscurus,Female,NA,NA,,
Herpestidae,Crossarchus obscurus,Male,NA,NA,,
Herpestidae,Crossarchus platycephalus,Female,NA,NA,,
Herpestidae,Crossarchus platycephalus,Male,NA,NA,,
Viverridae,Cryptoprocta ferox,Female,6250,3.80,,
Viverridae,Cryptoprocta ferox,Male,7400,3.87,,
Canidae,Cuon alpinus,Female,10550,4.02,,
Canidae,Cuon alpinus,Male,15400,4.19,,
Herpestidae,Cynictis penicillata,Female,720,2.86,,
Herpestidae,Cynictis penicillata,Male,739,2.87,,
Viverridae,Cynogale bennettii,Female,4400,3.64,,
Viverridae,Cynogale bennettii,Male,NA,NA,,
Viverridae,Diplogale hosei,Female,NA,NA,,
Viverridae,Diplogale hosei,Male,NA,NA,,
Herpestidae,Dologale dybowskii,Female,NA,NA,,
Herpestidae,Dologale dybowskii,Male,NA,NA,,
Canidae,Dusicyon australis,Female,NA,NA,,
Canidae,Dusicyon australis,Male,NA,NA,,
Mustelidae,Eira barbara,Female,4025,3.60,,
Mustelidae,Eira barbara,Male,5685,3.75,,
Mustelidae,Enhydra lutris,Female,19600,4.29,,
Mustelidae,Enhydra lutris,Male,34500,4.54,,
Viverridae,Eupleres goudotti,Female,2089,3.32,,
Viverridae,Eupleres goudotti,Male,2344,3.37,,
Felidae,Felis aurata,Female,8458,3.93,,
Felidae,Felis aurata,Male,9446,3.98,,
Felidae,Felis badia,Female,3500,3.54,,
Felidae,Felis badia,Male,NA,NA,,
Felidae,Felis bengalensis,Female,2115,3.33,,
Felidae,Felis bengalensis,Male,3050,3.48,,
Felidae,Felis bieti,Female,6500,3.81,,
Felidae,Felis bieti,Male,7750,3.89,,
Felidae,Felis canadensis,Female,8400,3.92,,
Felidae,Felis canadensis,Male,11828,4.07,,
Felidae,Felis caracal,Female,9350,3.97,,
Felidae,Felis caracal,Male,12050,4.08,,
Felidae,Felis chaus,Female,5855,3.77,,
Felidae,Felis chaus,Male,8030,3.90,,
Felidae,Felis colocolo,Female,NA,NA,,
Felidae,Felis colocolo,Male,NA,NA,,
Felidae,Felis concolor,Female,41750,4.62,,
Felidae,Felis concolor,Male,71300,4.85,,
Felidae,Felis geoffroyi,Female,3750,3.57,,
Felidae,Felis geoffroyi,Male,5500,3.74,,
Felidae,Felis guigna,Female,1530,3.18,,
Felidae,Felis guigna,Male,1950,3.29,,
Felidae,Felis iriomotensis,Female,3236,3.51,,
Felidae,Felis iriomotensis,Male,4169,3.62,,
Felidae,Felis jacobita,Female,NA,NA,,
Felidae,Felis jacobita,Male,4000,3.60,,
Felidae,Felis lynx (eurasian),Female,19100,4.28,,
Felidae,Felis lynx (eurasian),Male,19900,4.30,,
Felidae,Felis manul,Female,NA,NA,,
Felidae,Felis manul,Male,3050,3.48,,
Felidae,Felis margarita,Female,2265,3.36,,
Felidae,Felis margarita,Male,2800,3.45,,
Felidae,Felis marmorata,Female,3063,3.49,,
Felidae,Felis marmorata,Male,NA,NA,,
Felidae,Felis nigripes,Female,1500,3.18,,
Felidae,Felis nigripes,Male,1485,3.17,,
Felidae,Felis pardalis,Female,10056,4.00,,
Felidae,Felis pardalis,Male,9225,3.96,,
Felidae,Felis pardina,Female,9300,3.97,,
Felidae,Felis pardina,Male,12800,4.11,,
Felidae,Felis planiceps,Female,1785,3.25,,
Felidae,Felis planiceps,Male,2132,3.33,,
Felidae,Felis rubiginosus,Female,1288,3.11,,
Felidae,Felis rubiginosus,Male,950,2.98,,
Felidae,Felis rufus,Female,11000,4.04,,
Felidae,Felis rufus,Male,10550,4.02,,
Felidae,Felis serval,Female,9750,3.99,,
Felidae,Felis serval,Male,15250,4.18,,
Felidae,Felis silvestris,Female,2756,3.44,,
Felidae,Felis silvestris,Male,4400,3.64,,
