Species,MSW2,MSW3,Country,native,Family,Genus,sex,PM4,CsupL,Lat,Long,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Alaska,native,Mustelidae,Mustela,Female,2.81,0.85,68.08,-165.75,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Alaska,native,Mustelidae,Mustela,Female,3.01,0.87,66.42,-164.54,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Alaska,native,Mustelidae,Mustela,Female,2.73,0.95,68.08,-165.75,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Female,2.97,0.98,63.32,14.82,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Washington,native,Mustelidae,Mustela,Female,2.94,1.00,47.80,-123.45,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Female,NA,1.00,63.60,15.35,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Female,2.95,1.01,63.60,15.35,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Female,2.84,1.02,63.38,14.88,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Female,NA,1.02,63.38,14.88,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Nevada,native,Mustelidae,Mustela,Female,2.87,1.04,39.22,-113.92,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Washington,native,Mustelidae,Mustela,Female,2.99,1.04,47.97,-123.53,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Female,3.08,1.04,66.22,20.90,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Female,3.21,1.04,59.38,17.22,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Female,3.23,1.04,63.60,15.35,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Female,2.75,1.05,63.33,13.27,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Female,2.97,1.05,63.60,15.35,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Female,3.10,1.05,62.50,12.15,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Female,2.80,1.06,63.60,15.35,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Alaska,native,Mustelidae,Mustela,Female,2.88,1.06,69.42,-144.05,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Female,3.00,1.06,63.67,14.62,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Female,3.03,1.06,63.60,15.35,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Minnesota,native,Mustelidae,Mustela,Female,2.69,1.07,48.78,-95.80,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Alaska,native,Mustelidae,Mustela,Female,2.85,1.07,67.97,-161.72,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Female,2.92,1.07,60.23,18.33,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Female,3.01,1.07,63.32,14.82,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Female,3.08,1.07,63.38,14.88,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Germany,native,Mustelidae,Mustela,Female,3.11,1.07,47.60,13.00,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Colorado,native,Mustelidae,Mustela,Female,3.00,1.08,37.67,-107.67,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Wyoming,native,Mustelidae,Mustela,Female,3.14,1.08,43.95,-110.40,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Quebec,native,Mustelidae,Mustela,Female,2.74,1.08,55.27,-77.78,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Quebec,native,Mustelidae,Mustela,Female,2.78,1.08,53.27,-78.93,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Female,2.93,1.08,63.38,14.88,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Minnesota,native,Mustelidae,Mustela,Female,3.03,1.08,43.67,-93.08,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Female,3.06,1.08,58.67,16.40,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Alaska,native,Mustelidae,Mustela,Female,2.76,1.09,68.92,-164.63,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Minnesota,native,Mustelidae,Mustela,Female,2.66,1.10,47.75,-96.33,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Female,2.92,1.10,58.92,17.13,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Alaska,native,Mustelidae,Mustela,Female,2.99,1.10,71.30,-156.78,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Alaska,native,Mustelidae,Mustela,Female,3.02,1.10,71.38,-156.48,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Female,3.02,1.10,59.00,16.50,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Female,3.05,1.10,58.42,13.07,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Female,3.06,1.10,58.42,15.62,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Female,3.13,1.10,58.52,13.32,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Switzerland,native,Mustelidae,Mustela,Female,3.14,1.10,47.37,8.55,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Alaska,native,Mustelidae,Mustela,Female,3.16,1.10,66.92,-151.50,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Female,3.28,1.10,59.13,16.73,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Female,3.31,1.10,65.65,22.02,,,,
Mustela erminea,Mustela erminea,Mustela erminea,South Dakota,native,Mustelidae,Mustela,Female,2.90,1.11,43.85,-103.57,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Quebec,native,Mustelidae,Mustela,Female,3.30,1.11,50.00,-68.15,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Female,2.84,1.11,57.90,13.02,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Alaska,native,Mustelidae,Mustela,Female,2.88,1.11,63.88,-149.05,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Norway,native,Mustelidae,Mustela,Female,2.90,1.11,61.88,10.53,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Female,2.90,1.11,60.00,13.67,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Michigan,native,Mustelidae,Mustela,Female,2.93,1.11,42.27,-83.73,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Female,2.95,1.11,63.60,15.35,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Female,3.04,1.11,63.38,14.88,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Female,3.19,1.11,59.27,17.73,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Russia,native,Mustelidae,Mustela,Female,3.22,1.11,55.55,98.65,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,British Columbia,native,Mustelidae,Mustela,Female,2.71,1.12,53.83,-126.28,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Female,2.85,1.12,59.40,13.73,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Minnesota,native,Mustelidae,Mustela,Male,2.91,1.12,48.67,-95.78,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Female,2.95,1.12,64.17,17.33,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Female,2.96,1.12,58.72,11.48,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Female,3.10,1.12,63.38,14.88,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Alaska,native,Mustelidae,Mustela,Female,3.13,1.12,71.30,-156.78,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Female,3.17,1.12,63.38,14.88,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Washington,native,Mustelidae,Mustela,Male,3.25,1.13,47.65,-122.93,,,,
Mustela erminea,Mustela erminea,Mustela erminea,California,native,Mustelidae,Mustela,Female,3.42,1.13,38.22,-122.98,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Michigan,native,Mustelidae,Mustela,Male,2.72,1.13,42.67,-84.17,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Female,2.96,1.13,58.92,17.13,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Switzerland,native,Mustelidae,Mustela,Female,3.00,1.13,47.35,7.92,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Female,3.11,1.13,63.67,14.62,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Female,3.12,1.13,58.52,13.32,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Female,3.13,1.13,57.78,14.18,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Female,3.18,1.13,58.32,15.13,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Female,3.25,1.13,57.90,16.17,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Idaho,native,Mustelidae,Mustela,Female,3.55,1.14,45.97,-115.53,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Female,3.03,1.14,59.86,17.63,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Male,3.08,1.14,63.38,14.88,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Female,3.10,1.14,58.92,17.13,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Female,3.15,1.14,57.48,13.35,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Female,3.19,1.14,63.38,14.88,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Female,3.21,1.14,63.32,14.82,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,North Dakota,native,Mustelidae,Mustela,Female,2.81,1.15,48.83,-100.75,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Ohio,native,Mustelidae,Mustela,Female,2.90,1.15,41.08,-83.17,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Michigan,native,Mustelidae,Mustela,Female,2.96,1.15,42.67,-84.33,,,,
