species.name,phenophase,trophic.level,consumer.type,food.source,habitat.type,eco.type,spp,type.of.action,continent,site.location,endo.ecto
Oncorhynchus gorbuscha,spawning,secondary consumer,carnivore,"plankton, fish, squid",freshwater-marine,aquatic,spp1,predation,North America,Alaska,ectothermic
Aptenodytes forsteri,egg laying,secondary consumer,carnivore,fish,marine-seabird,terrestrial,spp2,predation,Antartica,Antartica,endothermic
Aptenodytes forsteri,first appearance,secondary consumer,carnivore,fish,marine-seabird,terrestrial,spp2,predation,Antartica,Antartica,endothermic
Catharacta maccormicki,egg laying,secondary consumer,carnivore,fish,marine-seabird,aquatic,spp2,predation,Antartica,Antartica,endothermic
Catharacta maccormicki,first appearance,secondary consumer,carnivore,fish,marine-seabird,aquatic,spp2,predation,Antartica,Antartica,endothermic
Daption capense,egg laying,secondary consumer,carnivore,"crustaceans, fish",marine-seabird,aquatic,spp2,predation,Antartica,Antartica,endothermic
Daption capense,first appearance,secondary consumer,carnivore,"crustaceans, fish",marine-seabird,aquatic,spp2,predation,Antartica,Antartica,endothermic
Fulmarus glacialoides,first appearance,secondary consumer,carnivore,"crustaceans, fish, cephalopods",marine-seabird,aquatic,spp2,predation,Antartica,Antartica,endothermic
Macronectes giganteus,first appearance,secondary consumer,carnivore,"crustaceans, fish",marine-seabird,aquatic,spp2,predation,Antartica,Antartica,endothermic
Oceanites oceanicus,first appearance,secondary consumer,carnivore,"crustaceans, fish, cephalopods",marine-seabird,aquatic,spp2,predation,Antartica,Antartica,endothermic
Pagodroma nivea,egg laying,secondary consumer,carnivore,"crustaceans, fish, cephalopods",marine-seabird,aquatic,spp2,predation,Antartica,Antartica,endothermic
Pagodroma nivea,first appearance,secondary consumer,carnivore,"crustaceans, fish, cephalopods",marine-seabird,aquatic,spp2,predation,Antartica,Antartica,endothermic
Pygoscelis adeliae,egg laying,secondary consumer,carnivore,"crustaceans, fish, cephalopods",marine-seabird,terrestrial,spp2,predation,Antartica,Antartica,endothermic
Pygoscelis adeliae,first appearance,secondary consumer,carnivore,"crustaceans, fish, cephalopods",marine-seabird,terrestrial,spp2,predation,Antartica,Antartica,endothermic
Pygoscelis adeliae,egg laying,secondary consumer,carnivore,"crustaceans, fish, cephalopods",marine-seabird,terrestrial,spp1,competition,Antartica,Antartica,endothermic
Pygoscelis antarcticus,egg laying,secondary consumer,carnivore,"crustaceans, fish",marine-seabird,terrestrial,spp2,competition,Antartica,Antartica,endothermic
Pygoscelis antarcticus,egg laying,secondary consumer,carnivore,"crustaceans, fish",marine-seabird,terrestrial,spp1,competition,Antartica,Antartica,endothermic
Pygoscelis papua,egg laying,secondary consumer,carnivore,"crustaceans, fish",marine-seabird,terrestrial,spp2,competition,Antartica,Antartica,endothermic
Thalassoica antarctica,first appearance,secondary consumer,carnivore,"crustaceans, fish",marine-seabird,aquatic,spp2,predation,Antartica,Antartica,endothermic
Alle alle,reproduction,secondary consumer,carnivore,"copeopod, larvae",marine-seabird,aquatic,spp2,predation,Artic Ocean,Artic Ocean,endothermic
Rissa tridactyla,reproduction,secondary consumer,carnivore,"crustaceans, fish",marine-seabird,aquatic,spp2,predation,Artic Ocean,Artic Ocean,endothermic
Calidris canutus,first appearance,secondary consumer,omnivore,insects,terrestrial,terrestrial,spp2,predation,Australia ,Australia ,endothermic
Calidris ferruginea,first appearance,secondary consumer,omnivore,"crustaceans, insects, seeds",marine-shorebird,terrestrial,spp2,predation,Australia ,Australia ,endothermic
Charadrius bicinctus,first appearance,secondary consumer,omnivore,crustaceans,marine-shorebird,terrestrial,spp2,predation,Australia ,Australia ,endothermic
Cuculus pallidus,first appearance,secondary consumer,insectivore,insects,terrestrial,terrestrial,spp2,predation,Australia ,Australia ,endothermic
Eudynamys scolopacea,first appearance,primary consumer,omnivore,fruits and juv insect,terrestrial,terrestrial,spp2,predation,Australia ,Australia ,endothermic
Gerygone olivacea,first appearance,secondary consumer,insectivore,insects,terrestrial,terrestrial,spp2,predation,Australia ,Australia ,endothermic
Hirundapus caudacutus,first appearance,secondary consumer,insectivore,insects,terrestrial,terrestrial,spp2,predation,Australia ,Australia ,endothermic
Merops ornatus,first appearance,secondary consumer,insectivore,insects,terrestrial,terrestrial,spp2,predation,Australia ,Australia ,endothermic
Monarcha melanopsis,first appearance,secondary consumer,insectivore,insects,terrestrial,terrestrial,spp2,predation,Australia ,Australia ,endothermic
Myiagra rubecula,first appearance,secondary consumer,insectivore,"insects, seeds",terrestrial,terrestrial,spp2,predation,Australia ,Australia ,endothermic
Pachycephala rufiventris,first appearance,secondary consumer,insectivore,"insects, fruit, seeds",terrestrial,terrestrial,spp2,predation,Australia ,Australia ,endothermic
Scythrops novaehollandiae,first appearance,secondary consumer,omnivore,"insects, fruit, carrion",terrestrial,terrestrial,spp2,predation,Australia ,Australia ,endothermic
Todiramphus sanctus,first appearance,secondary consumer,omnivore,"crustaceans, fish, insects",terrestrial,terrestrial,spp2,predation,Australia ,Australia ,endothermic
Anthus pratensis,first appearance,secondary consumer,insectivore,insects,terrestrial,terrestrial,spp2,predation,Baltic sea,Baltic sea,endothermic
Anthus trivialis,first appearance,secondary consumer,omnivore,"insects, plant material",terrestrial,terrestrial,spp2,predation,Baltic sea,Baltic sea,endothermic
Cannabina cannabina,first appearance,primary consumer,herbivore,seeds,terrestrial,terrestrial,spp2,herbivory,Baltic sea,Baltic sea,endothermic
Carduelis carduelis,first appearance,secondary consumer,omnivore,"insects, seeds",terrestrial,terrestrial,spp2,predation,Baltic sea,Baltic sea,endothermic
